SUPPLIER_ID,SUPPLIER_NAME,REPORT_DATE,UNITS_INSPECTED,DEFECTIVE_UNITS,DEFECT_RATE,QUALITY_STATUS,DEFECT_RATE_CALCULATED,QUALITY_SCORE,QUALITY_PERFORMANCE
1,Global Components Inc.,2026-01-15,1250,34,2.72,Reviewed,2.72,97.28,Good
2,EuroTech Manufacturing,2026-01-20,980,18,1.84,Approved,1.84,98.16,Excellent
3,Pacific Electronics Ltd.,2026-01-25,1420,51,3.59,Action Required,3.59,96.41,Good
1,Global Components Inc.,2026-02-15,1380,21,1.52,Approved,1.52,98.48,Excellent
2,EuroTech Manufacturing,2026-02-20,1150,14,1.22,Approved,1.22,98.78,Excellent
3,Pacific Electronics Ltd.,2026-02-25,1290,46,3.57,Action Required,3.57,96.43,Good
1,Global Components Inc.,2026-03-15,1520,27,1.78,Approved,1.78,98.22,Excellent
2,EuroTech Manufacturing,2026-03-20,1075,31,2.88,Reviewed,2.88,97.12,Good
3,Pacific Electronics Ltd.,2026-03-25,1480,39,2.64,Reviewed,2.64,97.36,Good
1,Global Components Inc.,2026-04-15,1640,19,1.16,Approved,1.16,98.84,Excellent
2,EuroTech Manufacturing,2026-04-20,1210,11,0.91,Approved,0.91,99.09,Excellent
3,Pacific Electronics Ltd.,2026-04-25,1560,43,2.76,Reviewed,2.76,97.24,Good
1,Global Components Inc.,2026-05-15,1710,23,1.35,Approved,1.35,98.65,Excellent
2,EuroTech Manufacturing,2026-05-20,1340,17,1.27,Approved,1.27,98.73,Excellent
3,Pacific Electronics Ltd.,2026-05-25,1620,55,3.4,Action Required,3.4,96.6,Good
1,Global Components Inc.,2026-06-15,1590,16,1.01,Approved,1.01,98.99,Excellent
2,EuroTech Manufacturing,2026-06-20,1280,13,1.02,Approved,1.02,98.98,Excellent
3,Pacific Electronics Ltd.,2026-06-25,1750,61,3.49,Action Required,3.49,96.51,Good
1,Global Components Inc.,2026-07-15,1820,20,1.1,Approved,1.1,98.9,Excellent
2,EuroTech Manufacturing,2026-07-20,1410,15,1.06,Approved,1.06,98.94,Excellent
3,Pacific Electronics Ltd.,2026-07-25,1690,37,2.19,Reviewed,2.19,97.81,Good
1,Global Components Inc.,2026-08-15,1900,18,0.95,Approved,0.95,99.05,Excellent
2,EuroTech Manufacturing,2026-08-20,1490,12,0.81,Approved,0.81,99.19,Excellent
3,Pacific Electronics Ltd.,2026-08-25,1810,49,2.71,Reviewed,2.71,97.29,Good
